1|rinon|20:40:41
2|pulmon|07:39:01
3|rinon|01:17:13
4|pulmon|08:06:34
5|rinon|17:17:53
6|corazon|13:04:18
7|pulmon|16:18:54
8|corazon|21:42:09
9|rinon|18:39:02
10|rinon|18:01:38
11|pulmon|11:37:09
12|corazon|14:04:58
13|pulmon|21:33:19
14|rinon|08:02:21
15|rinon|17:29:05
16|pulmon|23:50:21
17|pulmon|11:47:50
18|corazon|16:17:11
19|corazon|20:14:18
20|rinon|14:43:49
21|rinon|20:15:22
22|pulmon|11:45:52
23|pulmon|05:14:49
24|pulmon|05:11:41
25|corazon|11:03:39
26|pulmon|13:37:39
27|corazon|06:25:18
28|corazon|22:18:56
29|pulmon|12:40:39
30|corazon|23:09:39
31|rinon|06:57:11
32|pulmon|06:41:18
33|pulmon|06:06:37
34|corazon|15:48:10
35|rinon|08:34:05
36|rinon|17:43:09
37|pulmon|19:27:37
38|corazon|02:59:25
39|rinon|09:27:13
40|rinon|07:46:00
41|corazon|11:36:09
42|rinon|03:45:08
43|corazon|21:11:06
44|corazon|02:33:05
45|pulmon|20:20:18
46|pulmon|11:37:41
47|corazon|01:09:07
48|rinon|13:23:35
49|pulmon|03:21:12
50|rinon|03:07:18
51|rinon|17:26:09
52|pulmon|23:43:59
53|pulmon|13:07:08
54|rinon|20:01:54
55|pulmon|07:41:06
56|pulmon|21:14:55
57|pulmon|06:57:20
58|rinon|16:07:39
59|pulmon|00:52:30
60|rinon|17:43:29
61|corazon|07:24:53
62|pulmon|12:35:12
63|pulmon|14:36:49
64|pulmon|05:25:40
65|corazon|01:17:57
66|rinon|03:07:22
67|corazon|23:40:46
68|rinon|05:50:53
69|rinon|22:08:08
70|pulmon|05:00:20
71|corazon|16:42:54
72|corazon|01:28:08
73|corazon|05:37:03
74|corazon|16:16:30
75|rinon|02:37:08
76|rinon|07:48:33
77|pulmon|15:07:11
78|corazon|04:47:43
79|corazon|23:49:04
80|corazon|11:38:34
81|rinon|01:32:16
82|corazon|08:05:40
83|rinon|09:43:34
84|pulmon|02:17:37
85|pulmon|22:17:49
86|pulmon|21:16:45
87|corazon|22:24:04
88|corazon|14:25:34
89|pulmon|10:09:07
90|rinon|19:01:39
91|pulmon|07:26:38
92|rinon|12:37:33
93|corazon|12:34:25
94|corazon|05:13:28
95|pulmon|23:41:30
96|rinon|12:02:04
97|rinon|17:29:32
98|pulmon|22:48:57
99|pulmon|18:54:10
100|corazon|19:24:56
